total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy,allocation
12288,MiniGrid-DoorKey-6x6-v0,12288,15,1.0,0.9371666666666666,0.02542745672605806,0.8725,0.97,25.133333333333333,10.170982690423227,12,51,0.02,0.0003,0.2,0.744873302582516,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
12288,MiniGrid-DoorKey-8x8-v0,12288,15,0.9333333333333333,0.8000208333333333,0.22901672793782382,0.0,0.95078125,137.46666666666667,146.43354199848548,35,640,0.02,0.0003,0.2,1.0157126140339965,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
12288,MiniGrid-DoorKey-16x16-v0,12288,15,0.13333333333333333,0.09433333333333334,0.24625058472505312,0.0,0.85234375,2329.6,606.365874149703,420,2560,0.02,0.0003,0.2,1.1529534288540284,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
15360,MiniGrid-DoorKey-5x5-v0,15360,15,1.0,0.9541599999999999,0.016909358355656205,0.8956,0.9712,12.733333333333333,4.697043987682276,8,29,0.02,0.0003,0.2,0.5013214345312788,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
15360,MiniGrid-DoorKey-6x6-v0,15360,15,1.0,0.9591666666666666,0.012963624321753364,0.92,0.9725,16.333333333333332,5.185449728701349,11,32,0.02,0.0003,0.2,0.6143007812681174,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
15360,MiniGrid-DoorKey-8x8-v0,15360,15,0.8666666666666667,0.6961354166666666,0.29918728602341305,0.0,0.96484375,206.6,190.95018547603803,25,640,0.02,0.0003,0.2,1.058624424823677,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
15360,MiniGrid-DoorKey-16x16-v0,15360,15,0.4,0.24484374999999997,0.32566636632191587,0.0,0.9240625,1977.3333333333333,799.8774628376248,216,2560,0.02,0.0003,0.2,1.2222024286604403,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
18432,MiniGrid-DoorKey-5x5-v0,18432,15,1.0,0.9551200000000001,0.012038338755825072,0.9352,0.9712,12.466666666666667,3.343982987729187,8,18,0.02,0.0003,0.2,0.4465663685960037,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
18432,MiniGrid-DoorKey-6x6-v0,18432,15,1.0,0.9585,0.012773670837573156,0.9275,0.975,16.6,5.109468335029259,10,29,0.02,0.0003,0.2,0.4516648763963395,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
18432,MiniGrid-DoorKey-8x8-v0,18432,15,1.0,0.9178750000000001,0.0773766407338158,0.6821875,0.97890625,58.4,55.023388966268996,15,226,0.02,0.0003,0.2,0.7110237566831217,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
18432,MiniGrid-DoorKey-16x16-v0,18432,15,0.6,0.3675468749999999,0.34195414720974704,0.0,0.9328515625,1685.2,852.996146923693,191,2560,0.02,0.0003,0.2,0.9801098092858086,"{""MiniGrid-DoorKey-5x5-v0"": 1, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 1}"
21504,MiniGrid-DoorKey-5x5-v0,21504,15,1.0,0.9637600000000002,0.00846489220250321,0.946,0.9748,10.066666666666666,2.3513589451397863,7,15,0.02,0.0003,0.2,0.3243598521190819,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
